Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1980-10-01,0.0,2.851852,2.833333,2.833333,1.394458,566325,GL
1980-10-02,0.0,2.814815,2.796296,2.796296,1.37623,106650,GL
1980-10-03,0.0,2.814815,2.777778,2.777778,1.367115,34425,GL
1980-10-06,0.0,2.759259,2.740741,2.740741,1.348888,194400,GL
1980-10-07,0.0,2.703704,2.685185,2.685185,1.321545,423900,GL
1980-10-08,0.0,2.740741,2.722222,2.722222,1.339774,249750,GL
1980-10-09,0.0,2.740741,2.722222,2.722222,1.339774,93150,GL
1980-10-10,0.0,2.759259,2.722222,2.722222,1.339774,186975,GL
1980-10-13,0.0,2.759259,2.740741,2.740741,1.348888,121500,GL
1980-10-14,0.0,2.759259,2.722222,2.722222,1.339774,199125,GL
1980-10-15,0.0,2.740741,2.703704,2.703704,1.330659,264600,GL
1980-10-16,0.0,2.722222,2.703704,2.703704,1.330659,157950,GL
1980-10-17,0.0,2.722222,2.703704,2.703704,1.330659,74925,GL
1980-10-20,0.0,2.703704,2.666667,2.666667,1.312431,86400,GL
1980-10-21,0.0,2.666667,2.648148,2.648148,1.303317,403650,GL
1980-10-22,0.0,2.666667,2.648148,2.648148,1.303317,135000,GL
1980-10-23,0.0,2.62963,2.611111,2.611111,1.285089,599400,GL
1980-10-24,0.0,2.62963,2.611111,2.611111,1.285089,98550,GL
1980-10-27,0.0,2.611111,2.592593,2.592593,1.275974,96525,GL
1980-10-28,0.0,2.611111,2.592593,2.592593,1.275974,64800,GL
1980-10-29,0.0,2.592593,2.574074,2.574074,1.266861,56700,GL
1980-10-30,0.0,2.611111,2.574074,2.574074,1.266861,182925,GL
1980-10-31,0.0,2.592593,2.574074,2.574074,1.266861,263250,GL
1980-11-03,0.0,2.574074,2.555556,2.555556,1.257747,73575,GL
1980-11-05,0.0,2.574074,2.555556,2.555556,1.257747,107325,GL
1980-11-06,0.0,2.555556,2.537037,2.537037,1.248633,150525,GL
1980-11-07,0.0,2.537037,2.518519,2.518519,1.239518,309150,GL
1980-11-10,0.0,2.555556,2.518519,2.518519,1.239518,105975,GL
1980-11-11,0.0,2.666667,2.62963,2.62963,1.294202,271350,GL
1980-11-12,0.0,2.685185,2.666667,2.666667,1.312431,447525,GL
1980-11-13,0.0,2.722222,2.685185,2.685185,1.321545,83700,GL
1980-11-14,0.0,2.722222,2.703704,2.703704,1.330659,174825,GL
1980-11-17,0.0,2.722222,2.685185,2.685185,1.321545,75600,GL
1980-11-18,0.0,2.666667,2.648148,2.648148,1.303317,218025,GL
1980-11-19,0.0,2.666667,2.62963,2.62963,1.294202,220050,GL
1980-11-20,0.0,2.666667,2.648148,2.648148,1.303317,531900,GL
1980-11-21,0.0,2.648148,2.62963,2.62963,1.294202,130950,GL
1980-11-24,0.0,2.685185,2.648148,2.648148,1.303317,1187325,GL
1980-11-25,0.0,2.703704,2.685185,2.685185,1.321545,1826550,GL
1980-11-26,0.0,2.777778,2.759259,2.759259,1.358001,1891350,GL
1980-11-28,0.0,2.833333,2.814815,2.814815,1.385345,280125,GL
1980-12-01,0.0,2.87037,2.833333,2.833333,1.394458,539325,GL
1980-12-02,0.0,3.0,2.981481,2.981481,1.46737,527175,GL
1980-12-03,0.0,3.037037,3.018519,3.018519,1.4856,375300,GL
1980-12-04,0.0,3.055556,3.018519,3.018519,1.4856,249075,GL
1980-12-05,0.0,2.851852,2.833333,2.833333,1.394458,307800,GL
1980-12-08,0.0,2.796296,2.777778,2.777778,1.367115,122850,GL
1980-12-09,0.0,2.851852,2.814815,2.814815,1.385345,181575,GL
1980-12-10,0.0,2.851852,2.814815,2.814815,1.385345,180225,GL
1980-12-11,0.0,2.814815,2.814815,2.814815,1.385345,139725,GL
1980-12-12,0.0,2.851852,2.814815,2.814815,1.385345,162000,GL
1980-12-15,0.0,2.833333,2.814815,2.814815,1.385345,251775,GL
1980-12-16,0.0,2.833333,2.814815,2.814815,1.385345,55350,GL
1980-12-17,0.0,2.796296,2.777778,2.777778,1.367115,199125,GL
1980-12-18,0.0,2.814815,2.777778,2.777778,1.367115,228150,GL
1980-12-19,0.0,2.796296,2.777778,2.777778,1.367115,187650,GL
1980-12-22,0.0,2.888889,2.851852,2.851852,1.403572,177525,GL
1980-12-23,0.0,2.87037,2.833333,2.833333,1.394458,200475,GL
1980-12-24,0.0,2.851852,2.814815,2.814815,1.385345,151200,GL
1980-12-26,0.0,2.851852,2.833333,2.833333,1.394458,218025,GL
1980-12-29,0.0,2.851852,2.833333,2.833333,1.394458,240300,GL
1980-12-30,0.0,2.907407,2.888889,2.888889,1.4218,290925,GL
1980-12-31,0.0,3.037037,2.87037,3.037037,1.494713,147825,GL
1981-01-02,0.0,3.296296,3.018519,3.296296,1.62231,209250,GL
1981-01-05,0.0,3.481481,3.333333,3.37037,1.658767,1067850,GL
1981-01-06,0.0,3.407407,3.314815,3.351852,1.649654,205875,GL
1981-01-07,0.0,3.259259,3.185185,3.240741,1.594968,430650,GL
1981-01-08,0.0,3.240741,3.203704,3.203704,1.57674,162000,GL
1981-01-09,0.0,3.222222,3.12963,3.166667,1.558511,149850,GL
1981-01-12,0.0,3.222222,3.12963,3.185185,1.567626,61425,GL
1981-01-13,0.0,3.166667,3.074074,3.074074,1.512941,65475,GL
1981-01-14,0.0,3.111111,3.0,3.111111,1.531169,42525,GL
1981-01-15,0.0,3.12963,3.092593,3.111111,1.531169,222750,GL
1981-01-16,0.0,3.222222,3.148148,3.185185,1.567626,74925,GL
1981-01-19,0.0,3.185185,3.148148,3.185185,1.567626,64800,GL
1981-01-20,0.0,3.185185,3.148148,3.148148,1.549398,51300,GL
1981-01-21,0.0,3.185185,3.111111,3.185185,1.567626,145800,GL
1981-01-22,0.0,3.185185,3.12963,3.185185,1.567626,96525,GL
1981-01-23,0.0,3.203704,3.111111,3.185185,1.567626,326700,GL
1981-01-26,0.0,3.222222,3.074074,3.074074,1.512941,56700,GL
1981-01-27,0.0,3.111111,3.037037,3.074074,1.512941,202500,GL
1981-01-28,0.0,3.111111,3.037037,3.037037,1.494713,30375,GL
1981-01-29,0.0,3.111111,3.055556,3.092593,1.522055,45225,GL
1981-01-30,0.0,3.074074,3.0,3.0,1.476484,39825,GL
1981-02-02,0.0,3.018519,2.962963,2.962963,1.458257,51300,GL
1981-02-03,0.0,3.018519,2.962963,3.018519,1.4856,17550,GL
1981-02-04,0.0,3.074074,3.018519,3.074074,1.512941,21600,GL
1981-02-05,0.0,3.111111,3.037037,3.055556,1.503828,39825,GL
1981-02-06,0.0,3.240741,3.018519,3.092593,1.522055,19575,GL
1981-02-09,0.0,3.148148,3.092593,3.092593,1.522055,77625,GL
1981-02-10,0.0,3.074074,3.055556,3.055556,1.503828,18900,GL
1981-02-11,0.0,3.074074,2.981481,3.0,1.476484,20925,GL
1981-02-12,0.0,3.092593,3.0,3.037037,1.494713,58050,GL
1981-02-13,0.0,3.111111,3.037037,3.111111,1.531169,101925,GL
1981-02-17,0.0,3.111111,3.074074,3.074074,1.512941,60750,GL
1981-02-18,0.0,3.111111,3.0,3.0,1.476484,100575,GL
