Date,Open,High,Low,Close,Adj Close,Volume
1982-04-01,0.000000,2.416367,2.399816,2.399816,0.640097,128395
1982-04-02,0.000000,2.432917,2.399816,2.399816,0.640097,161627
1982-04-05,0.000000,2.449468,2.416367,2.416367,0.644512,196369
1982-04-06,0.000000,2.432917,2.416367,2.416367,0.644512,136703
1982-04-07,0.000000,2.432917,2.416367,2.416367,0.644512,64198
1982-04-08,0.000000,2.499119,2.482569,2.482569,0.662170,294554
1982-04-12,0.000000,2.466018,2.449468,2.449468,0.653341,299085
1982-04-13,0.000000,2.466018,2.449468,2.449468,0.653341,99695
1982-04-14,0.000000,2.383266,2.366716,2.366716,0.631269,171445
1982-04-15,0.000000,2.432917,2.416367,2.416367,0.644512,219027
1982-04-16,0.000000,2.432917,2.416367,2.416367,0.644512,126129
1982-04-19,0.000000,2.449468,2.416367,2.416367,0.644512,160872
1982-04-20,0.000000,2.432917,2.399816,2.399816,0.640097,817198
1982-04-21,0.000000,2.416367,2.399816,2.399816,0.640097,40784
1982-04-22,0.000000,2.416367,2.399816,2.399816,0.640097,79303
1982-04-23,0.000000,2.548771,2.515670,2.515670,0.670999,339870
1982-04-26,0.000000,2.648073,2.631523,2.631523,0.701900,327785
1982-04-27,0.000000,2.581871,2.565321,2.565321,0.684242,251504
1982-04-28,0.000000,2.466018,2.449468,2.449468,0.653341,557386
1982-04-29,0.000000,2.317064,2.300514,2.300514,0.613611,410865
1982-04-30,0.000000,2.598422,2.581871,2.581871,0.688657,926712
1982-05-03,0.000000,2.747376,2.730826,2.730826,0.728387,589108
1982-05-04,0.000000,2.730826,2.714275,2.714275,0.723972,581555
1982-05-05,0.000000,2.581871,2.565321,2.565321,0.684242,541526
1982-05-06,0.000000,2.548771,2.532220,2.532220,0.675413,396515
1982-05-07,0.000000,2.565321,2.548771,2.548771,0.679828,149543
1982-05-10,0.000000,2.532220,2.499119,2.499119,0.666584,206943
1982-05-11,0.000000,2.565321,2.548771,2.548771,0.679828,382165
1982-05-12,0.000000,2.515670,2.499119,2.499119,0.666584,323254
1982-05-13,0.000000,2.598422,2.565321,2.565321,0.684242,482615
1982-05-14,0.000000,2.681174,2.648073,2.648073,0.706314,240175
1982-05-17,0.000000,2.648073,2.614972,2.614972,0.697486,132927
1982-05-18,0.000000,2.648073,2.614972,2.614972,0.697486,675963
1982-05-19,0.000000,2.598422,2.581871,2.581871,0.688657,793029
1982-05-20,0.000000,2.614972,2.581871,2.581871,0.688657,234888
1982-05-21,0.000000,2.631523,2.614972,2.614972,0.697486,575513
1982-05-24,0.000000,2.664624,2.614972,2.614972,0.697486,255280
1982-05-25,0.000000,2.697725,2.664624,2.664624,0.710729,216006
1982-05-26,0.000000,2.664624,2.648073,2.648073,0.706314,153319
1982-05-27,0.000000,2.664624,2.631523,2.631523,0.701900,117066
1982-05-28,0.000000,2.631523,2.614972,2.614972,0.697486,94408
1982-06-01,0.000000,2.614972,2.598422,2.598422,0.693071,57400
1982-06-02,0.000000,2.614972,2.598422,2.598422,0.693071,391983
1982-06-03,0.000000,2.515670,2.482569,2.482569,0.662170,643487
1982-06-04,0.000000,2.499119,2.466018,2.466018,0.657755,279448
1982-06-07,0.000000,2.499119,2.466018,2.466018,0.657755,191082
1982-06-08,0.000000,2.614972,2.581871,2.581871,0.688657,355730
1982-06-09,0.000000,2.598422,2.581871,2.581871,0.688657,175222
