Workload,QueryNum,NumWorkers,MinLatency,MaxLatency,MedianLatency,MeanLatency,StdLatency,TimeStamp
4,1,1,4.441469669342041,4.544482946395874,4.4929763078689575,4.4929763078689575,0.07284138675701389,2022-12-05 08:34:38.755437
4,1,2,8.887835025787354,8.930029153823853,8.908932089805603,8.908932089805603,0.029835754060861884,2022-12-05 08:34:56.792036
4,1,3,13.35901165008545,13.367361307144165,13.363186478614807,13.363186478614807,0.0059040991268000794,2022-12-05 08:35:23.731815
4,1,4,17.75211787223816,17.81368350982666,17.78290069103241,17.78290069103241,0.04353347982690244,2022-12-05 08:35:59.516867
4,1,1,4.429010629653931,4.43494176864624,4.4319761991500854,4.4319761991500854,0.004193948601622043,2022-12-05 08:36:13.413983
4,1,2,8.864528179168701,8.87704610824585,8.870787143707275,8.870787143707275,0.00885151253686392,2022-12-05 08:36:31.377957
4,1,3,13.316098928451538,13.32217526435852,13.31913709640503,13.31913709640503,0.0042966183245945816,2022-12-05 08:36:58.233611
4,1,4,17.683634281158447,17.727858781814575,17.70574653148651,17.70574653148651,0.031271444308536976,2022-12-05 08:37:33.858431
4,1,1,4.419105529785156,4.443896770477295,4.431501150131226,4.431501150131226,0.017530054407439134,2022-12-05 08:37:51.053297
4,1,2,8.873859643936157,8.943530559539795,8.908695101737976,8.908695101737976,0.04926477687480786,2022-12-05 08:38:09.086508
4,1,3,13.32986855506897,13.35457181930542,13.342220187187195,13.342220187187195,0.017467845659037053,2022-12-05 08:38:35.989684
4,1,4,17.81989598274231,17.88651728630066,17.853206634521484,17.853206634521484,0.04710837551759648,2022-12-05 08:39:11.907912
