NumWorkers,Batch_Size,TotalMetrics,MetricsPerSec,RowsPerSec,TotalRows,TimeStamp,Try,Latency
1,2269,18152.0,3435.9833152075657,429.4979144009457,2269.0,2022-12-05 17:18:30.116254,1,5.282912731170654
5,453,18152.0,3388.4692010494527,423.5586501311816,2269.0,2022-12-05 17:18:35.786904,1,5.356991291046143
10,226,18152.0,3322.899434672876,415.3624293341095,2269.0,2022-12-05 17:18:41.567333,1,5.4626991748809814
20,113,18152.0,3410.0180669357806,426.25225836697257,2269.0,2022-12-05 17:18:47.206771,1,5.323138952255249
1,20151,161208.0,6018.265004533222,752.2831255666528,20151.0,2022-12-05 17:19:14.366988,1,26.786457538604736
5,4030,161208.0,6046.4547473464,755.8068434183,20151.0,2022-12-05 17:19:41.849406,1,26.661573886871338
10,2015,161208.0,5873.944331451051,734.2430414313814,20151.0,2022-12-05 17:20:10.106242,1,27.44459104537964
20,1007,161208.0,6060.0723423591535,757.5090427948942,20151.0,2022-12-05 17:20:37.517274,1,26.601662635803223
1,63153,505224.0,7358.430037685952,919.803754710744,63153.0,2022-12-05 17:21:47.130364,1,68.65921092033386
5,12630,505224.0,6833.178096022495,854.1472620028119,63153.0,2022-12-05 17:23:02.688205,1,73.93689918518066
10,6315,505224.0,6812.063508184136,851.507938523017,63153.0,2022-12-05 17:24:18.378133,1,74.16607308387756
20,3157,505224.0,6812.621044709979,851.5776305887474,63153.0,2022-12-05 17:25:34.056101,1,74.1600034236908
