NumWorkers,Batch_Size,TotalMetrics,MetricsPerSec,RowsPerSec,TotalRows,TimeStamp,Try,Latency
10,2015,161208.0,5786.227045761842,723.2783807202303,20151.0,2022-12-05 21:55:45.891244,1,27.860641956329346
20,1007,161208.0,5817.65951266993,727.2074390837413,20151.0,2022-12-05 21:56:14.400078,1,27.71011257171631
1,63153,505224.0,7104.053873932508,888.0067342415635,63153.0,2022-12-05 21:57:26.454169,1,71.11770391464233
5,12630,505224.0,6680.15997008487,835.0199962606088,63153.0,2022-12-05 21:58:43.668926,1,75.63052415847778
10,6315,505224.0,6506.794629746888,813.349328718361,63153.0,2022-12-05 22:00:02.882422,1,77.64560413360596
20,3157,505224.0,6622.270660225211,827.7838325281514,63153.0,2022-12-05 22:01:21.707146,1,76.2916567325592
1,2269,18152.0,3309.547118192575,413.6933897740719,2269.0,2022-12-05 22:01:28.550110,1,5.484738349914551
5,453,18152.0,3260.339289716719,407.5424112145899,2269.0,2022-12-05 22:01:34.461983,1,5.567518711090088
10,226,18152.0,3191.3067949867964,398.91334937334955,2269.0,2022-12-05 22:01:40.470719,1,5.687952041625977
20,113,18152.0,3211.8708733094545,401.4838591636818,2269.0,2022-12-05 22:01:46.473783,1,5.651534795761108
1,20151,161208.0,6091.461844769215,761.4327305961518,20151.0,2022-12-05 22:02:13.321200,1,26.46458339691162
5,4030,161208.0,5786.480578144032,723.310072268004,20151.0,2022-12-05 22:02:41.998756,1,27.859421253204346
10,2015,161208.0,5823.1117860923905,727.8889732615488,20151.0,2022-12-05 22:03:10.479053,1,27.68416714668274
20,1007,161208.0,5857.296386039092,732.1620482548865,20151.0,2022-12-05 22:03:38.812833,1,27.522595643997192
1,63153,505224.0,6966.694857092945,870.8368571366182,63153.0,2022-12-05 22:04:52.262386,1,72.51989793777466
5,12630,505224.0,6504.927697120029,813.1159621400036,63153.0,2022-12-05 22:06:11.514453,1,77.66788864135742
10,6315,505224.0,6639.5850803768835,829.9481350471104,63153.0,2022-12-05 22:07:29.155785,1,76.09270668029785
20,3157,505224.0,6640.7377361719155,830.0922170214894,63153.0,2022-12-05 22:08:46.767101,1,76.07949900627136
