NumWorkers,Batch_Size,TotalMetrics,MetricsPerSec,RowsPerSec,TotalRows,TimeStamp,Try,Latency
1,1000,505224.0,7117.067289980065,889.6334112475081,63153.0,2022-12-05 21:11:56.207322,1,70.98766660690308
5,1000,505224.0,6700.370956459079,837.5463695573849,63153.0,2022-12-05 21:13:13.188283,1,75.40239238739014
10,1000,505224.0,6701.859959380789,837.7324949225987,63153.0,2022-12-05 21:14:30.182584,1,75.38563966751099
20,1000,505224.0,6728.176363275306,841.0220454094133,63153.0,2022-12-05 21:15:46.836909,1,75.09077835083008
1,5000,505224.0,7115.786493669258,889.4733117086572,63153.0,2022-12-05 21:16:59.832394,1,71.00044393539429
5,5000,505224.0,6685.029384234015,835.6286730292519,63153.0,2022-12-05 21:18:16.987430,1,75.57543444633484
10,5000,505224.0,6516.357451321467,814.5446814151834,63153.0,2022-12-05 21:19:36.124438,1,77.531658411026
20,5000,505224.0,6619.293626356215,827.4117032945269,63153.0,2022-12-05 21:20:53.966538,1,76.32596898078918
1,10000,505224.0,7150.815006161447,893.8518757701809,63153.0,2022-12-05 21:22:06.132613,1,70.65264582633972
5,10000,505224.0,6580.608115176283,822.5760143970354,63153.0,2022-12-05 21:23:24.418805,1,76.77466750144958
10,10000,505224.0,6594.797866047899,824.3497332559874,63153.0,2022-12-05 21:24:42.521444,1,76.60947465896606
20,10000,505224.0,6662.511751865185,832.8139689831481,63153.0,2022-12-05 21:25:59.988291,1,75.83086061477661
