Workload,QueryNum,NumWorkers,MinLatency,MaxLatency,MedianLatency,MeanLatency,StdLatency,TimeStamp
3,1,1,119.85995364189148,120.28238582611084,119.99681401252747,120.04818720817566,0.17295927902220898,2022-12-05 06:49:53.586553
3,1,2,239.50413417816162,240.5356743335724,239.95955181121826,240.00031423568726,0.3683937968224566,2022-12-05 07:09:53.803693
3,1,3,360.034601688385,360.7028293609619,360.1354365348816,360.23533191680906,0.26833681053033803,2022-12-05 07:39:55.198143
3,1,4,480.1755576133728,481.6238462924957,480.93488025665283,480.85340003967286,0.5723213801420105,2022-12-05 08:19:59.680696
