NumWorkers,Batch_Size,TotalMetrics,MetricsPerSec,RowsPerSec,TotalRows,TimeStamp,Try,Latency
1,1000,505224.0,7191.069694551078,898.8837118188848,63153.0,2022-12-05 16:39:21.625853,1,70.25714135169983
5,1000,505224.0,6817.458805632066,852.1823507040083,63153.0,2022-12-05 16:40:37.391373,1,74.1073784828186
10,1000,505224.0,6598.151610052733,824.7689512565917,63153.0,2022-12-05 16:41:55.540867,1,76.57053518295288
20,1000,505224.0,6672.152375360888,834.019046920111,63153.0,2022-12-05 16:43:12.859870,1,75.72129225730896
1,5000,505224.0,7033.0255647984595,879.1281955998074,63153.0,2022-12-05 16:44:26.265472,1,71.83593964576721
5,5000,505224.0,6658.325617847605,832.2907022309506,63153.0,2022-12-05 16:45:43.696204,1,75.87853598594666
10,5000,505224.0,6550.8553915109205,818.8569239388651,63153.0,2022-12-05 16:47:02.401476,1,77.12336325645447
20,5000,505224.0,6516.296214140538,814.5370267675672,63153.0,2022-12-05 16:48:21.417152,1,77.53238701820374
1,10000,505224.0,6961.1662578742935,870.1457822342867,63153.0,2022-12-05 16:49:35.511470,1,72.57749366760254
5,10000,505224.0,6708.322657174482,838.5403321468102,63153.0,2022-12-05 16:50:52.446104,1,75.31301426887512
10,10000,505224.0,6617.241591868976,827.155198983622,63153.0,2022-12-05 16:52:10.287851,1,76.34963798522949
20,10000,505224.0,6654.727467548052,831.8409334435065,63153.0,2022-12-05 16:53:27.725382,1,75.91956281661987
