NumWorkers,Batch_Size,TotalMetrics,MetricsPerSec,RowsPerSec,TotalRows,TimeStamp,Try,Latency
1,2269,18152.0,3474.161214209092,434.2701517761365,2269.0,2022-12-05 04:13:14.158272,1,5.224858283996582
5,2269,18152.0,3430.6338026379312,428.8292253297414,2269.0,2022-12-05 04:13:19.769211,1,5.2911505699157715
10,2269,18152.0,3370.5427561957595,421.31784452446993,2269.0,2022-12-05 04:13:25.464392,1,5.3854827880859375
20,2269,18152.0,3422.8508853689646,427.85636067112057,2269.0,2022-12-05 04:13:31.111733,1,5.3031816482543945
1,20151,161208.0,6356.088475185474,794.5110593981842,20151.0,2022-12-05 04:13:56.850239,1,25.362768411636353
5,20151,161208.0,6290.130455908838,786.2663069886047,20151.0,2022-12-05 04:14:23.290699,1,25.628721237182617
10,20151,161208.0,6546.493110522933,818.3116388153667,20151.0,2022-12-05 04:14:48.718601,1,24.62509274482727
20,20151,161208.0,6461.928630310494,807.7410787888117,20151.0,2022-12-05 04:15:14.468241,1,24.94735074043274
1,63153,505224.0,7506.684271777217,938.3355339721521,63153.0,2022-12-05 04:16:22.710585,1,67.3032169342041
5,63153,505224.0,7513.779304918722,939.2224131148403,63153.0,2022-12-05 04:17:32.070837,1,67.23966455459595
10,63153,505224.0,7392.527823425889,924.0659779282362,63153.0,2022-12-05 04:18:42.210692,1,68.34252262115479
20,63153,505224.0,7442.171653432416,930.271456679052,63153.0,2022-12-05 04:19:51.753083,1,67.88663625717163
1,2269,18152.0,3568.496936089296,446.062117011162,2269.0,2022-12-05 04:19:58.268822,2,5.086735486984253
5,2269,18152.0,3368.6435616127665,421.0804452015958,2269.0,2022-12-05 04:20:03.972312,2,5.388519048690796
10,2269,18152.0,3304.9544494098704,413.1193061762338,2269.0,2022-12-05 04:20:09.788290,2,5.4923601150512695
20,2269,18152.0,3455.4610557747724,431.93263197184655,2269.0,2022-12-05 04:20:15.367083,2,5.25313401222229
1,20151,161208.0,6461.923566338075,807.7404457922594,20151.0,2022-12-05 04:20:40.689086,2,24.947370290756226
5,20151,161208.0,6424.034620631008,803.004327578876,20151.0,2022-12-05 04:21:06.587866,2,25.094509840011597
10,20151,161208.0,6343.605404020336,792.950675502542,20151.0,2022-12-05 04:21:32.844598,2,25.412677764892578
20,20151,161208.0,6430.363935286106,803.7954919107633,20151.0,2022-12-05 04:21:58.742766,2,25.069809675216675
1,63153,505224.0,7509.504357959279,938.6880447449099,63153.0,2022-12-05 04:23:06.968469,2,67.27794218063354
5,63153,505224.0,7531.0417322731555,941.3802165341444,63153.0,2022-12-05 04:24:15.629568,2,67.08553981781006
10,63153,505224.0,7463.7551569473935,932.9693946184242,63153.0,2022-12-05 04:25:24.975488,2,67.69032335281372
20,63153,505224.0,7504.28377420403,938.0354717755038,63153.0,2022-12-05 04:26:33.845024,2,67.32474613189697
1,2269,18152.0,3481.596684666004,435.1995855832505,2269.0,2022-12-05 04:26:40.402333,3,5.213699817657471
